,name,orig_n,orig_m,attr_name,model,mu,clustering,cost,branch_factor,height,graph_dl,num_rules,unique_rules,grammar_dl
175,polbooks,105,441,value,AVRG-mu-random,6,spectral,17971,4.0588235294117645,4,29954.439735840868,26,25,14136.527849735572
176,polbooks,105,441,value,AVRG-mu-random,7,spectral,17971,4.0588235294117645,4,29954.439735840868,29,28,6621.474160069143
177,polbooks,105,441,value,VRG-mu-random,5,leiden,22550,3.0,6,29954.439735840868,21,21,10767.665044062636
178,polbooks,105,441,value,VRG-mu-random,6,leiden,22550,3.0,6,29954.439735840868,20,20,9017.085789742621
179,polbooks,105,441,value,AVRG-mu-random,4,leiden,22550,3.0,6,29954.439735840868,16,16,25700.118478926026
180,polbooks,105,441,value,VRG-mu-random,7,leiden,22550,3.0,6,29954.439735840868,22,22,4987.605370831603
181,polbooks,105,441,value,AVRG-mu-random,5,leiden,22550,3.0,6,29954.439735840868,21,21,12242.221020311725
182,polbooks,105,441,value,AVRG-mu-random,6,leiden,22550,3.0,6,29954.439735840868,20,20,10363.259415287428
183,polbooks,105,441,value,AVRG-mu-random,7,leiden,22550,3.0,6,29954.439735840868,22,22,5999.100965468685
184,polbooks,105,441,value,VRG-mu-random,3,infomap,28238,15.857142857142858,2,29954.439735840868,1,1,13018.498880363222
185,polbooks,105,441,value,VRG-mu-random,4,consensus,10321,3.9714285714285715,7,29954.439735840868,7,7,26824.66811257786
186,polbooks,105,441,value,VRG-mu-random,4,infomap,28238,15.857142857142858,2,29954.439735840868,1,1,13018.498880363222
187,polbooks,105,441,value,VRG-mu-random,5,consensus,10321,3.9714285714285715,7,29954.439735840868,12,12,20317.48985753862
188,polbooks,105,441,value,VRG-mu-random,6,consensus,10321,3.9714285714285715,7,29954.439735840868,12,12,20317.48985753862
189,polbooks,105,441,value,AVRG-mu-random,4,consensus,10321,3.9714285714285715,7,29954.439735840868,7,7,32867.80685932385
190,polbooks,105,441,value,VRG-mu-random,7,consensus,10321,3.9714285714285715,7,29954.439735840868,14,14,15468.22980085038
191,polbooks,105,441,value,AVRG-mu-random,5,consensus,10321,3.9714285714285715,7,29954.439735840868,12,12,22839.637556978872
192,polbooks,105,441,value,AVRG-mu-random,6,consensus,10321,3.9714285714285715,7,29954.439735840868,12,12,22839.637556978872
193,polbooks,105,441,value,VRG-mu-random,5,infomap,28238,15.857142857142858,2,29954.439735840868,2,2,19281.41143086249
194,polbooks,105,441,value,AVRG-mu-random,7,consensus,10321,3.9714285714285715,7,29954.439735840868,14,14,17329.245902543895
195,polbooks,105,441,value,VRG-mu-random,7,infomap,28238,15.857142857142858,2,29954.439735840868,3,3,22335.759624718445
196,polbooks,105,441,value,VRG-mu-random,6,infomap,28238,15.857142857142858,2,29954.439735840868,3,3,22335.759624718445
197,polbooks,105,441,value,AVRG-mu-random,3,infomap,28238,15.857142857142858,2,29954.439735840868,1,1,30063.439735840868
198,polbooks,105,441,value,AVRG-mu-random,4,infomap,28238,15.857142857142858,2,29954.439735840868,1,1,30063.439735840868
199,polbooks,105,441,value,VRG-all-tnodes,3,infomap,28238,15.857142857142858,2,29954.439735840868,7,7,5959.624522012246
200,polbooks,105,441,value,AVRG-mu-random,5,infomap,28238,15.857142857142858,2,29954.439735840868,2,2,31348.058543253577
201,polbooks,105,441,value,AVRG-mu-random,7,infomap,28238,15.857142857142858,2,29954.439735840868,3,3,31307.085882919713
202,polbooks,105,441,value,AVRG-mu-random,6,infomap,28238,15.857142857142858,2,29954.439735840868,3,3,31307.085882919713
203,polbooks,105,441,value,AVRG-all-tnodes,3,infomap,28238,15.857142857142858,2,29954.439735840868,7,7,11627.392848189078
204,polblogs,1222,16714,value,VRG-mu-random,8,cond,8554258,2.0,76,8856733.660589287,199,199,60582.165221508425
205,polblogs,1222,16714,value,VRG-mu-random,3,cond,8554258,2.0,76,8856733.660589287,678,673,63628.279654211954
206,polblogs,1222,16714,value,AVRG-mu-random,3,cond,8554258,2.0,76,8856733.660589287,684,641,71238.08313423255
207,polblogs,1222,16714,value,AVRG-mu-random,8,cond,8554258,2.0,76,8856733.660589287,199,199,89603.31628130801
208,polblogs,1222,16714,value,VRG-mu-random,3,spectral,9533876,7.783333333333333,6,8856733.660589287,64,63,8095296.009913854
209,polblogs,1222,16714,value,VRG-mu-random,8,spectral,9533876,7.783333333333333,6,8856733.660589287,125,124,5586671.825577105
210,polblogs,1222,16714,value,VRG-mu-random,3,leiden,13164661,3.2779850746268657,7,8856733.660589287,25,25,6907476.0588514665
211,polblogs,1222,16714,value,AVRG-mu-random,3,spectral,9533876,7.783333333333333,6,8856733.660589287,64,61,9133572.112054732
212,polblogs,1222,16714,value,AVRG-mu-random,3,leiden,13164661,3.2779850746268657,7,8856733.660589287,25,25,9036854.530416679
213,polblogs,1222,16714,value,VRG-mu-random,8,leiden,13164661,3.2779850746268657,7,8856733.660589287,63,63,5138385.046402388
214,polblogs,1222,16714,value,AVRG-mu-random,8,leiden,13164661,3.2779850746268657,7,8856733.660589287,63,63,5948446.483125758
215,polblogs,1222,16714,value,AVRG-mu-random,8,spectral,9533876,7.783333333333333,6,8856733.660589287,125,122,5905237.714403347
216,polblogs,1222,16714,value,VRG-all-tnodes,3,spectral,9533876,7.783333333333333,6,8856733.660589287,180,179,119696.48564441019
217,polblogs,1222,16714,value,AVRG-all-tnodes,3,spectral,9533876,7.783333333333333,6,8856733.660589287,180,177,169055.7351576427
218,polblogs,1222,16714,value,VRG-all-tnodes,3,leiden,13164661,3.2779850746268657,7,8856733.660589287,536,517,57266.30538343146
219,polblogs,1222,16714,value,AVRG-all-tnodes,3,leiden,13164661,3.2779850746268657,7,8856733.660589287,536,491,70906.76530221538
220,polblogs,1222,16714,value,VRG-all-tnodes,3,cond,8554258,2.0,76,8856733.660589287,1221,1113,72162.61493827618
